# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp
100000 50 104796
  1 0.01 2101.5 260.409
  2 0.03 2088.87 269.14
  3 0.05 2094.25 272.946
  4 0.07 2096.23 275.488
  5 0.09 2087.18 275.362
  6 0.11 2099.02 278.616
  7 0.13 2095.7 280.618
  8 0.15 2099.42 282.222
  9 0.17 2105.54 282.432
  10 0.19 2093.49 284.473
  11 0.21 2088.84 285.527
  12 0.23 2101.59 285.794
  13 0.25 2096.29 287.415
  14 0.27 2098.15 290.579
  15 0.29 2090.28 289.589
  16 0.31 2094.95 289.783
  17 0.33 2088.45 289.983
  18 0.35 2097.19 290.347
  19 0.37 2095.86 290.709
  20 0.39 2099.74 292.905
  21 0.41 2100.64 297.549
  22 0.43 2102.77 302.437
  23 0.45 2085.84 304.705
  24 0.47 2099.22 307.036
  25 0.49 2099.14 317.213
  26 0.51 2098.14 336.535
  27 0.53 2089.13 315.592
  28 0.55 2094.59 303.118
  29 0.57 2095.29 299.591
  30 0.59 2087.02 298.973
  31 0.61 2096.9 298.572
  32 0.63 2097.96 297.413
  33 0.65 2103.28 294.649
  34 0.67 2101.31 290.962
  35 0.69 2092.36 289.796
  36 0.71 2096.8 291.215
  37 0.73 2098.08 288.938
  38 0.75 2098.22 288.377
  39 0.77 2091.78 285.58
  40 0.79 2093.89 284.434
  41 0.81 2096.55 284.173
  42 0.83 2092.16 281.036
  43 0.85 2088.27 279.881
  44 0.87 2098.32 280.77
  45 0.89 2099.08 282.495
  46 0.91 2102.7 282.605
  47 0.93 2100.34 280.167
  48 0.95 2090.27 277.176
  49 0.97 2097.73 272.83
  50 0.99 2095.68 268.938
200000 50 104796
  1 0.01 2110.36 236.827
  2 0.03 2085.11 249.329
  3 0.05 2083.13 256.942
  4 0.07 2100.02 259.28
  5 0.09 2111.72 259.842
  6 0.11 2092.87 261.272
  7 0.13 2080.44 262.474
  8 0.15 2098.82 265.392
  9 0.17 2103.24 265.042
  10 0.19 2090.93 266.125
  11 0.21 2085.65 266.446
  12 0.23 2097.18 267.558
  13 0.25 2117.95 269.991
  14 0.27 2101 272.005
  15 0.29 2081.43 271.532
  16 0.31 2085.58 272.927
  17 0.33 2108.66 274.112
  18 0.35 2103.29 274.51
  19 0.37 2088.57 275.626
  20 0.39 2086.48 278.699
  21 0.41 2102.95 281.131
  22 0.43 2098.22 282.033
  23 0.45 2087.07 286.003
  24 0.47 2083.25 290.302
  25 0.49 2113.06 301.169
  26 0.51 2111.71 322.304
  27 0.53 2087.46 302.347
  28 0.55 2077.27 291.871
  29 0.57 2101.96 287.77
  30 0.59 2110.49 284.07
  31 0.61 2092.15 282.031
  32 0.63 2081.32 278.534
  33 0.65 2099.29 278.012
  34 0.67 2101.36 275.556
  35 0.69 2092.53 275.398
  36 0.71 2080.81 272.724
  37 0.73 2101.48 271.887
  38 0.75 2118.84 269.897
  39 0.77 2095.02 267.896
  40 0.79 2084.51 267.663
  41 0.81 2088.27 265.9
  42 0.83 2109.99 265.253
  43 0.85 2102.62 265.145
  44 0.87 2081.05 264.08
  45 0.89 2092.35 261.418
  46 0.91 2104.93 259.837
  47 0.93 2096.01 258.104
  48 0.95 2085.76 257.582
  49 0.97 2086.46 254.045
  50 0.99 2115.42 247.814
