# Chunk-averaged data for fix 1a and group layer1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp1
100000 50 34932
  1 0.01 697.648 198.877
  2 0.03 688.018 203.383
  3 0.05 692.232 204.023
  4 0.07 694.07 205.594
  5 0.09 696.779 204.265
  6 0.11 702.903 207.246
  7 0.13 700.435 207.539
  8 0.15 700.625 208.836
  9 0.17 707.376 209.212
  10 0.19 700.09 210.731
  11 0.21 699.226 212.041
  12 0.23 701.979 212.873
  13 0.25 698.914 215.052
  14 0.27 695.39 216.998
  15 0.29 689.707 215.621
  16 0.31 691.123 217.052
  17 0.33 694.182 218.306
  18 0.35 703.46 219.075
  19 0.37 701.263 221.023
  20 0.39 700.253 222.285
  21 0.41 702.841 227.173
  22 0.43 706.552 231.203
  23 0.45 696.761 234.006
  24 0.47 702.101 237.674
  25 0.49 701.984 251.284
  26 0.51 696.969 276.708
  27 0.53 688.419 250.198
  28 0.55 691.022 232.441
  29 0.57 695.327 227.98
  30 0.59 697.429 227.688
  31 0.61 702.249 226.182
  32 0.63 698.688 224.236
  33 0.65 702.577 221.452
  34 0.67 707.011 219.581
  35 0.69 700.614 216.816
  36 0.71 699.803 217.791
  37 0.73 702.894 214.672
  38 0.75 699.096 213.34
  39 0.77 692.332 211.028
  40 0.79 689.738 210.234
  41 0.81 694.581 212.678
  42 0.83 694.961 208.522
  43 0.85 699.665 207.93
  44 0.87 700.118 208.25
  45 0.89 701.396 209.856
  46 0.91 704.396 210.24
  47 0.93 706.46 210.314
  48 0.95 695.315 207.849
  49 0.97 703.051 204.737
  50 0.99 701.982 201.451
200000 50 34932
  1 0.01 707.354 211.705
  2 0.03 697.453 223.211
  3 0.05 701.8 231.217
  4 0.07 702.087 233.87
  5 0.09 701.476 233.618
  6 0.11 688.746 235.439
  7 0.13 689.137 238.477
  8 0.15 693.79 240.268
  9 0.17 699.485 238.903
  10 0.19 700.317 240.925
  11 0.21 698.896 242.68
  12 0.23 700.266 241.361
  13 0.25 706.047 246.446
  14 0.27 703.75 247.362
  15 0.29 697.183 246.402
  16 0.31 702.292 247.758
  17 0.33 702.455 248.827
  18 0.35 696.732 248.485
  19 0.37 687.456 250.829
  20 0.39 691.73 254.493
  21 0.41 696.56 257.604
  22 0.43 700.418 258.835
  23 0.45 699.175 263.398
  24 0.47 699.147 265.398
  25 0.49 702.703 278.724
  26 0.51 705.367 301.165
  27 0.53 699.239 280.56
  28 0.55 701.395 268.99
  29 0.57 701.149 264.12
  30 0.59 701.557 259.822
  31 0.61 689.174 256.76
  32 0.63 688.715 253.734
  33 0.65 694.146 253.611
  34 0.67 699.423 249.908
  35 0.69 700.698 249.296
  36 0.71 695.949 247.992
  37 0.73 702.505 246.017
  38 0.75 706.857 244.838
  39 0.77 700.878 242.442
  40 0.79 701.087 241.346
  41 0.81 702.678 240.559
  42 0.83 701.279 239.193
  43 0.85 694.309 238.407
  44 0.87 686.376 238.911
  45 0.89 694.883 236.131
  46 0.91 696.59 233.584
  47 0.93 699.383 233.165
  48 0.95 698.324 232.823
  49 0.97 699.898 227.875
  50 0.99 703.687 222.609
