# Chunk-averaged data for fix 1b and group layer2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp2
100000 50 34932
  1 0.01 708.318 291.341
  2 0.03 710 302.418
  3 0.05 710 306.878
  4 0.07 707.635 311.077
  5 0.09 694.046 312.411
  6 0.11 694.223 316.486
  7 0.13 693.343 318.639
  8 0.15 694.733 319.426
  9 0.17 690.129 319.877
  10 0.19 693.101 322.329
  11 0.21 692.536 322.255
  12 0.23 697.692 322.31
  13 0.25 700.73 322.97
  14 0.27 709.832 326.853
  15 0.29 710 327.183
  16 0.31 709.134 326.559
  17 0.33 701.561 327.67
  18 0.35 694.018 327.709
  19 0.37 690.863 327.788
  20 0.39 696.3 330.284
  21 0.41 693.123 333.068
  22 0.43 690.588 338.308
  23 0.45 691.254 341.279
  24 0.47 696.309 343.678
  25 0.49 698.736 349.633
  26 0.51 706.115 366.948
  27 0.53 710 347.692
  28 0.55 710 338.276
  29 0.57 708.771 335.515
  30 0.59 691.839 335.385
  31 0.61 693.15 336.381
  32 0.63 695.172 335.68
  33 0.65 697.24 333.142
  34 0.67 687.09 327.726
  35 0.69 692.15 327.595
  36 0.71 694.729 328.712
  37 0.73 697.625 327.696
  38 0.75 700.802 327.245
  39 0.77 709.432 323.914
  40 0.79 710 322.017
  41 0.81 709.794 321.084
  42 0.83 700.587 318.208
  43 0.85 691.739 318.88
  44 0.87 695.595 318.025
  45 0.89 694.727 318.8
  46 0.91 690.934 320.281
  47 0.93 690.938 316.543
  48 0.95 694.543 311.957
  49 0.97 694.925 308.791
  50 0.99 695.899 304.589
200000 50 34932
  1 0.01 694.851 246.273
  2 0.03 688.228 259.04
  3 0.05 687.486 266.691
  4 0.07 699.041 268.558
  5 0.09 709.631 269.662
  6 0.11 710 270.103
  7 0.13 710 270.363
  8 0.15 709.763 274.079
  9 0.17 703.309 274.939
  10 0.19 688.715 276.302
  11 0.21 686.891 275.962
  12 0.23 692.654 277.726
  13 0.25 702.431 278.819
  14 0.27 692.531 281.582
  15 0.29 686.041 281.327
  16 0.31 688.677 283.119
  17 0.33 706.987 284.822
  18 0.35 710 285.348
  19 0.37 710 284.063
  20 0.39 709.977 286.109
  21 0.41 707.008 287.788
  22 0.43 698.253 290.82
  23 0.45 686.365 293.621
  24 0.47 683.979 299.68
  25 0.49 701.673 309.265
  26 0.51 698.847 328.318
  27 0.53 688.06 310.185
  28 0.55 681.919 299.478
  29 0.57 702.061 296.977
  30 0.59 709.858 291.608
  31 0.61 710 290.334
  32 0.63 710 287.764
  33 0.65 709.791 287.562
  34 0.67 700.735 284.463
  35 0.69 689.348 284.659
  36 0.71 687.421 281.107
  37 0.73 692.469 280.261
  38 0.75 702.06 277.825
  39 0.77 691.234 276.436
  40 0.79 688.109 277.753
  41 0.81 688.687 275.261
  42 0.83 708.148 274.651
  43 0.85 710 274.45
  44 0.87 710 271.432
  45 0.89 710 269.477
  46 0.91 708.51 269.542
  47 0.93 693.507 267.395
  48 0.95 686.869 265.923
  49 0.97 687.531 263.722
  50 0.99 702.344 256.353
