# Chunk-averaged data for fix 1c and group layer3
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp3
100000 50 34932
  1 0.01 695.536 290.627
  2 0.03 690.856 300.427
  3 0.05 692.019 307.077
  4 0.07 694.52 309.076
  5 0.09 696.36 309.576
  6 0.11 701.893 312.632
  7 0.13 701.921 315.985
  8 0.15 704.064 318.538
  9 0.17 708.032 319.087
  10 0.19 700.294 320.727
  11 0.21 697.082 322.75
  12 0.23 701.92 322.424
  13 0.25 696.644 324.25
  14 0.27 692.925 327.262
  15 0.29 690.569 324.812
  16 0.31 694.689 324.601
  17 0.33 692.709 323.642
  18 0.35 699.712 324.942
  19 0.37 703.733 323.751
  20 0.39 703.188 326.218
  21 0.41 704.678 332.806
  22 0.43 705.626 338.658
  23 0.45 697.829 339.066
  24 0.47 700.81 340.118
  25 0.49 698.419 351.043
  26 0.51 695.056 365.628
  27 0.53 690.707 347.774
  28 0.55 693.571 337.543
  29 0.57 691.195 334.791
  30 0.59 697.755 334.12
  31 0.61 701.502 333.68
  32 0.63 704.1 332.245
  33 0.65 703.46 329.601
  34 0.67 707.211 326.603
  35 0.69 699.595 325.485
  36 0.71 702.271 327.286
  37 0.73 697.563 325.009
  38 0.75 698.321 324.492
  39 0.77 690.016 320.969
  40 0.79 694.153 319.722
  41 0.81 692.176 318.066
  42 0.83 696.613 315.993
  43 0.85 696.863 313.41
  44 0.87 702.613 316.149
  45 0.89 702.96 319.092
  46 0.91 707.373 317.865
  47 0.93 702.942 314.614
  48 0.95 700.407 311.509
  49 0.97 699.75 305.532
  50 0.99 697.8 301.277
200000 50 34932
  1 0.01 708.158 252.653
  2 0.03 699.428 265.816
  3 0.05 693.841 273.302
  4 0.07 698.891 275.527
  5 0.09 700.608 276.152
  6 0.11 694.125 277.872
  7 0.13 681.302 278.525
  8 0.15 695.271 281.595
  9 0.17 700.448 281.208
  10 0.19 701.895 281.282
  11 0.21 699.858 280.841
  12 0.23 704.26 283.605
  13 0.25 709.47 284.682
  14 0.27 704.715 287.202
  15 0.29 698.205 287
  16 0.31 694.609 288.269
  17 0.33 699.221 288.687
  18 0.35 696.554 289.494
  19 0.37 691.11 291.624
  20 0.39 684.777 295.47
  21 0.41 699.38 297.833
  22 0.43 699.545 296.489
  23 0.45 701.525 301.08
  24 0.47 700.125 306.011
  25 0.49 708.682 315.408
  26 0.51 707.5 337.438
  27 0.53 700.163 316.402
  28 0.55 693.955 307.523
  29 0.57 698.744 302.25
  30 0.59 699.078 300.749
  31 0.61 692.975 298.656
  32 0.63 682.602 293.955
  33 0.65 695.35 292.622
  34 0.67 701.205 292.236
  35 0.69 702.484 292.346
  36 0.71 697.438 289.141
  37 0.73 706.504 289.402
  38 0.75 709.925 287.009
  39 0.77 702.91 284.877
  40 0.79 695.312 284.213
  41 0.81 696.9 282.2
  42 0.83 700.561 281.839
  43 0.85 698.309 282.269
  44 0.87 684.677 281.686
  45 0.89 687.471 278.655
  46 0.91 699.827 276.144
  47 0.93 703.123 273.746
  48 0.95 700.568 274.083
  49 0.97 699.032 270.73
  50 0.99 709.385 264.362
