# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp
100000 50 104796
  1 0.01 2106.76 265.421
  2 0.03 2073.38 280.393
  3 0.05 2057.94 287.585
  4 0.07 2074.59 289.542
  5 0.09 2073.94 291.996
  6 0.11 2087.48 296.48
  7 0.13 2098.17 299.367
  8 0.15 2093.1 300.077
  9 0.17 2071.66 302.33
  10 0.19 2075.94 302.934
  11 0.21 2085.27 300.392
  12 0.23 2075.33 301.702
  13 0.25 2089.99 306.773
  14 0.27 2084.47 308.719
  15 0.29 2092.85 308.677
  16 0.31 2078.41 308.992
  17 0.33 2077.46 310.665
  18 0.35 2084.57 313.586
  19 0.37 2081.69 315.917
  20 0.39 2101.79 322.408
  21 0.41 2109.76 321.971
  22 0.43 2128.61 322.266
  23 0.45 2129.13 329.049
  24 0.47 2118.8 335.644
  25 0.49 2100.12 347.204
  26 0.51 2096.42 375.091
  27 0.53 2100.89 344.545
  28 0.55 2108.28 334.227
  29 0.57 2117.61 329.75
  30 0.59 2128.89 322.902
  31 0.61 2141.74 319.885
  32 0.63 2143.01 318.211
  33 0.65 2128.68 316.454
  34 0.67 2113.2 316.343
  35 0.69 2106.03 315.611
  36 0.71 2097.59 312.868
  37 0.73 2085.5 310.842
  38 0.75 2082.88 310.554
  39 0.77 2091.61 309.054
  40 0.79 2091.75 305.833
  41 0.81 2088.12 303.08
  42 0.83 2089.59 300.451
  43 0.85 2100.16 299.282
  44 0.87 2105.78 299.746
  45 0.89 2083.95 299.585
  46 0.91 2078.77 296.523
  47 0.93 2086.15 295.393
  48 0.95 2080.9 296.253
  49 0.97 2093.74 291.937
  50 0.99 2103.53 281.257
200000 50 104796
  1 0.01 2067.14 258.274
  2 0.03 2078.45 275.542
  3 0.05 2061.98 283.851
  4 0.07 2057.75 287.354
  5 0.09 2073.39 290.862
  6 0.11 2066.5 293.653
  7 0.13 2064.23 295.117
  8 0.15 2083.71 297.555
  9 0.17 2067.3 300.186
  10 0.19 2072.74 303.725
  11 0.21 2068.99 305.187
  12 0.23 2075.5 305.829
  13 0.25 2068.88 307.075
  14 0.27 2079.03 309.745
  15 0.29 2074.18 312.781
  16 0.31 2075.32 314.816
  17 0.33 2077.17 315.684
  18 0.35 2083.51 316.349
  19 0.37 2081.33 317.109
  20 0.39 2081.54 319.564
  21 0.41 2086.65 323.76
  22 0.43 2081.3 325.361
  23 0.45 2075.38 327.028
  24 0.47 2077.32 332.378
  25 0.49 2079.52 344.773
  26 0.51 2077.65 367.859
  27 0.53 2089.25 345.954
  28 0.55 2119.68 335.534
  29 0.57 2159.63 327.647
  30 0.59 2200.14 324.445
  31 0.61 2258.47 320.852
  32 0.63 2282.28 317.884
  33 0.65 2258.64 316.976
  34 0.67 2207.69 315.353
  35 0.69 2160.81 313.027
  36 0.71 2141.12 309.96
  37 0.73 2082.59 309.05
  38 0.75 2077.8 307.56
  39 0.77 2085.89 306.073
  40 0.79 2079.56 303.822
  41 0.81 2065.61 304.445
  42 0.83 2074.43 302.418
  43 0.85 2068 300.589
  44 0.87 2055.93 298.69
  45 0.89 2076.35 297.303
  46 0.91 2075.03 293.688
  47 0.93 2056.22 291.779
  48 0.95 2058.93 287.552
  49 0.97 2076.01 283.377
  50 0.99 2049.47 274.893
