# Chunk-averaged data for fix 1a and group layer1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp1
100000 50 34932
  1 0.01 705.405 263.409
  2 0.03 695.902 276.335
  3 0.05 685.677 285.362
  4 0.07 687.354 287.263
  5 0.09 684.513 286.844
  6 0.11 690.458 291.898
  7 0.13 700.538 294.665
  8 0.15 699.652 295.483
  9 0.17 696.958 298.369
  10 0.19 695.531 298.689
  11 0.21 694.734 297.44
  12 0.23 688.414 297.703
  13 0.25 695.639 303.514
  14 0.27 692.988 305.592
  15 0.29 694.505 306.543
  16 0.31 694.455 306.773
  17 0.33 695.635 308.335
  18 0.35 693.913 310.224
  19 0.37 692.982 312.909
  20 0.39 702.112 319.946
  21 0.41 702.858 319.458
  22 0.43 712.362 321.523
  23 0.45 710.971 325.454
  24 0.47 705.993 331.476
  25 0.49 701.751 345.362
  26 0.51 697.183 372.87
  27 0.53 696.486 343.503
  28 0.55 700.182 332.952
  29 0.57 706.11 327.447
  30 0.59 709.961 318.904
  31 0.61 714.407 316.949
  32 0.63 714.546 314.503
  33 0.65 708.231 313.545
  34 0.67 704.268 313.886
  35 0.69 702.587 312.377
  36 0.71 700.472 308.399
  37 0.73 698.199 307.575
  38 0.75 697.116 307.793
  39 0.77 694.686 306.82
  40 0.79 693.673 304.099
  41 0.81 694.191 301.115
  42 0.83 697.612 297.757
  43 0.85 700.892 296.356
  44 0.87 702.18 296.704
  45 0.89 698.033 297.792
  46 0.91 693.546 294.188
  47 0.93 692.821 294.359
  48 0.95 693.574 293.924
  49 0.97 696.129 290.215
  50 0.99 703.616 279.46
200000 50 34932
  1 0.01 689.23 257.416
  2 0.03 707.341 273.252
  3 0.05 706.229 281.265
  4 0.07 679.004 285.741
  5 0.09 682.244 289.776
  6 0.11 680.066 293.184
  7 0.13 681.41 293.177
  8 0.15 700.252 296.673
  9 0.17 703.298 299.604
  10 0.19 694.721 301.647
  11 0.21 687.107 304.613
  12 0.23 687.721 306.461
  13 0.25 684.383 306.38
  14 0.27 687.593 306.516
  15 0.29 692.715 309.128
  16 0.31 698.626 312.045
  17 0.33 695.004 313.349
  18 0.35 695.97 314.203
  19 0.37 696.462 315.964
  20 0.39 690.533 319.412
  21 0.41 690.935 323.297
  22 0.43 691.696 325.77
  23 0.45 693.83 326.066
  24 0.47 695.399 332.164
  25 0.49 695.427 344.542
  26 0.51 692.882 368.541
  27 0.53 694.777 348.105
  28 0.55 700.872 337.182
  29 0.57 715.321 328.286
  30 0.59 733.147 324.633
  31 0.61 752.936 319.337
  32 0.63 758.854 317.999
  33 0.65 758.82 315.794
  34 0.67 743.379 314.471
  35 0.69 711.337 311.118
  36 0.71 711.952 308.678
  37 0.73 690.85 306.549
  38 0.75 696.596 306.226
  39 0.77 707.8 304.664
  40 0.79 703.152 302.395
  41 0.81 682.609 303.759
  42 0.83 680.413 300.754
  43 0.85 681.117 298.716
  44 0.87 676.267 296.907
  45 0.89 700.037 296.422
  46 0.91 709.774 292.013
  47 0.93 696.515 289.757
  48 0.95 670.812 286.187
  49 0.97 685 280.877
  50 0.99 669.585 273.435
