# Chunk-averaged data for fix 1b and group layer2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp2
100000 50 34932
  1 0.01 696.091 267.207
  2 0.03 688.468 282.188
  3 0.05 687.292 289.144
  4 0.07 698.46 291.589
  5 0.09 700.942 293.569
  6 0.11 697.238 299.489
  7 0.13 694.54 300.515
  8 0.15 692.4 301.452
  9 0.17 685.031 305.739
  10 0.19 689.093 306.513
  11 0.21 695.676 304.017
  12 0.23 700.649 303.585
  13 0.25 697.21 310.468
  14 0.27 695.916 313.035
  15 0.29 699.471 309.953
  16 0.31 691.436 310.904
  17 0.33 687.938 312.267
  18 0.35 696.679 316.967
  19 0.37 695.663 319.402
  20 0.39 699.003 325.54
  21 0.41 703.24 324.497
  22 0.43 707.708 325.515
  23 0.45 707.932 333.633
  24 0.47 706.811 337.92
  25 0.49 699.391 349.527
  26 0.51 700.312 375.49
  27 0.53 703.245 346.183
  28 0.55 704.823 335.22
  29 0.57 705.253 331.769
  30 0.59 709.547 326.573
  31 0.61 711.67 323.697
  32 0.63 713.636 322.367
  33 0.65 710.896 318.808
  34 0.67 705.389 318.791
  35 0.69 699.874 319.19
  36 0.71 698.042 317.509
  37 0.73 694.881 315.3
  38 0.75 695.186 314.678
  39 0.77 699.118 312.874
  40 0.79 698.721 310.284
  41 0.81 694.914 308.56
  42 0.83 693.523 304.455
  43 0.85 695.55 302.912
  44 0.87 701.151 304.471
  45 0.89 695.08 303.329
  46 0.91 694.762 300.384
  47 0.93 700.405 297.373
  48 0.95 700.352 297.926
  49 0.97 697.628 295.049
  50 0.99 693.764 284.016
200000 50 34932
  1 0.01 676.119 259.899
  2 0.03 678.992 278.1
  3 0.05 674.392 286.906
  4 0.07 703.398 291.293
  5 0.09 708.468 294.285
  6 0.11 695.04 296.145
  7 0.13 676.415 297.784
  8 0.15 690.494 300.672
  9 0.17 673.683 302.528
  10 0.19 692.702 305.459
  11 0.21 697.654 306.606
  12 0.23 701.646 306.392
  13 0.25 690.31 308.638
  14 0.27 694.301 311.957
  15 0.29 687.838 315.987
  16 0.31 682.633 318.464
  17 0.33 688.871 320.034
  18 0.35 697.565 320.34
  19 0.37 696.742 320.1
  20 0.39 697.509 322.235
  21 0.41 697.865 326.481
  22 0.43 693.547 327.053
  23 0.45 687.555 331.795
  24 0.47 686.952 334.898
  25 0.49 694.013 349.636
  26 0.51 696.593 371.778
  27 0.53 698.005 347.225
  28 0.55 709.077 336.397
  29 0.57 719.412 330.939
  30 0.59 730.432 326.861
  31 0.61 748.869 324.191
  32 0.63 762.797 319.705
  33 0.65 750.452 321.119
  34 0.67 732.574 319.275
  35 0.69 733.536 317.409
  36 0.71 718.944 312.955
  37 0.73 690.913 312.803
  38 0.75 682.643 310.168
  39 0.77 684.824 310.016
  40 0.79 688.598 307.111
  41 0.81 701.932 308.889
  42 0.83 708.242 307.729
  43 0.85 693.926 304.696
  44 0.87 677.923 301.766
  45 0.89 679.615 299.254
  46 0.91 676.218 296.145
  47 0.93 686.153 292.776
  48 0.95 707.383 289.77
  49 0.97 706.246 287.021
  50 0.99 681.986 277.957
