# Chunk-averaged data for fix 1c and group layer3
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp3
100000 50 34932
  1 0.01 705.264 265.671
  2 0.03 689.013 282.697
  3 0.05 684.974 288.244
  4 0.07 688.773 289.74
  5 0.09 688.484 295.517
  6 0.11 699.785 298.002
  7 0.13 703.094 302.916
  8 0.15 701.05 303.304
  9 0.17 689.672 302.948
  10 0.19 691.314 303.636
  11 0.21 694.864 299.713
  12 0.23 686.265 303.79
  13 0.25 697.143 306.329
  14 0.27 695.563 307.516
  15 0.29 698.879 309.519
  16 0.31 692.519 309.309
  17 0.33 693.887 311.411
  18 0.35 693.977 313.555
  19 0.37 693.042 315.426
  20 0.39 700.674 321.751
  21 0.41 703.663 321.957
  22 0.43 708.539 319.768
  23 0.45 710.222 328.077
  24 0.47 705.993 337.532
  25 0.49 698.976 346.729
  26 0.51 698.924 376.907
  27 0.53 701.164 343.935
  28 0.55 703.272 334.502
  29 0.57 706.251 330.038
  30 0.59 709.387 323.232
  31 0.61 715.66 319.025
  32 0.63 714.831 317.768
  33 0.65 709.554 316.998
  34 0.67 703.548 316.348
  35 0.69 703.571 315.28
  36 0.71 699.077 312.711
  37 0.73 692.424 309.662
  38 0.75 690.577 309.192
  39 0.77 697.806 307.45
  40 0.79 699.351 303.107
  41 0.81 699.012 299.582
  42 0.83 698.458 299.167
  43 0.85 703.716 298.607
  44 0.87 702.45 298.071
  45 0.89 690.833 297.63
  46 0.91 690.463 294.982
  47 0.93 692.927 294.424
  48 0.95 686.976 296.9
  49 0.97 699.988 290.549
  50 0.99 706.153 280.337
200000 50 34932
  1 0.01 701.787 257.55
  2 0.03 692.121 275.373
  3 0.05 681.356 283.508
  4 0.07 675.351 284.872
  5 0.09 682.682 288.397
  6 0.11 691.391 291.61
  7 0.13 706.403 294.434
  8 0.15 692.959 295.34
  9 0.17 690.319 298.495
  10 0.19 685.316 304.08
  11 0.21 684.233 304.315
  12 0.23 686.132 304.619
  13 0.25 694.186 306.205
  14 0.27 697.132 310.726
  15 0.29 693.625 313.249
  16 0.31 694.062 314.016
  17 0.33 693.296 313.703
  18 0.35 689.978 314.48
  19 0.37 688.124 315.238
  20 0.39 693.5 317.031
  21 0.41 697.852 321.498
  22 0.43 696.057 323.269
  23 0.45 693.998 323.266
  24 0.47 694.965 330.1
  25 0.49 690.075 340.116
  26 0.51 688.176 363.205
  27 0.53 696.469 342.536
  28 0.55 709.726 333.045
  29 0.57 724.901 323.749
  30 0.59 736.557 321.862
  31 0.61 756.667 319.054
  32 0.63 760.633 315.942
  33 0.65 749.372 314.023
  34 0.67 731.735 312.322
  35 0.69 715.938 310.432
  36 0.71 710.223 308.214
  37 0.73 700.827 307.815
  38 0.75 698.56 306.342
  39 0.77 693.269 303.615
  40 0.79 687.813 301.99
  41 0.81 681.072 300.551
  42 0.83 685.774 298.583
  43 0.85 692.96 298.318
  44 0.87 701.738 297.435
  45 0.89 696.696 296.284
  46 0.91 689.042 293.001
  47 0.93 673.551 292.854
  48 0.95 680.737 286.593
  49 0.97 684.766 282.118
  50 0.99 697.9 273.299
