# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp
100000 50 104796
  1 0.01 2123.54 267.013
  2 0.03 2067.52 271.859
  3 0.05 2121.49 263.523
  4 0.07 2071.61 266.764
  5 0.09 2116.89 274.173
  6 0.11 2076.28 279.535
  7 0.13 2113.04 283.717
  8 0.15 2080.93 289.672
  9 0.17 2106.21 296.247
  10 0.19 2089.27 298.408
  11 0.21 2098 298.947
  12 0.23 2096.01 298.853
  13 0.25 2093.84 299.314
  14 0.27 2098.49 298.903
  15 0.29 2091.58 299.331
  16 0.31 2102.2 299.524
  17 0.33 2087.66 300.06
  18 0.35 2107.17 298.583
  19 0.37 2082.63 298.042
  20 0.39 2112.51 298.707
  21 0.41 2079.03 300.963
  22 0.43 2115.2 303.87
  23 0.45 2076.36 306.939
  24 0.47 2119.76 310.268
  25 0.49 2070.45 318.455
  26 0.51 2122.86 333.662
  27 0.53 2068.16 319.687
  28 0.55 2120.4 311.635
  29 0.57 2071.82 306.996
  30 0.59 2117.4 303.263
  31 0.61 2076.16 300.555
  32 0.63 2113 299.383
  33 0.65 2081.57 300.255
  34 0.67 2107.75 298.357
  35 0.69 2087.39 298.947
  36 0.71 2101.15 298.935
  37 0.73 2094.57 297.988
  38 0.75 2094.65 298.879
  39 0.77 2099.65 299.869
  40 0.79 2088.77 300.023
  41 0.81 2104.64 298.916
  42 0.83 2083.99 293.661
  43 0.85 2109.79 287.948
  44 0.87 2081.3 286.561
  45 0.89 2112.99 280.451
  46 0.91 2077.69 274.155
  47 0.93 2117.74 267.29
  48 0.95 2073.78 267.879
  49 0.97 2122.68 281.13
  50 0.99 2068.45 287.15
200000 50 104796
  1 0.01 2094.1 246.091
  2 0.03 2098.81 259.854
  3 0.05 2095.19 265.946
  4 0.07 2097.17 270.342
  5 0.09 2095.86 271.737
  6 0.11 2095.29 273.346
  7 0.13 2097.58 275.428
  8 0.15 2092.5 277.381
  9 0.17 2100.88 280.292
  10 0.19 2090 281.359
  11 0.21 2103.74 283.248
  12 0.23 2087.98 284.978
  13 0.25 2104.07 285.861
  14 0.27 2088.73 286.398
  15 0.29 2104.36 287.215
  16 0.31 2087.57 290.487
  17 0.33 2105.57 291.919
  18 0.35 2084.52 292.059
  19 0.37 2106.83 294.537
  20 0.39 2083.22 296.71
  21 0.41 2106.44 299.66
  22 0.43 2085.69 302.045
  23 0.45 2104.1 304.918
  24 0.47 2089.06 310.205
  25 0.49 2101.44 320.528
  26 0.51 2090.39 338.339
  27 0.53 2099.98 320.832
  28 0.55 2092.32 310.818
  29 0.57 2097.96 305.523
  30 0.59 2095.3 301.788
  31 0.61 2095.26 299.234
  32 0.63 2098.39 297.658
  33 0.65 2092.26 296.221
  34 0.67 2101.47 293.855
  35 0.69 2089.57 292.198
  36 0.71 2102.94 289.416
  37 0.73 2088.12 288.417
  38 0.75 2103.53 287.907
  39 0.77 2086.62 286.903
  40 0.79 2104.85 285.085
  41 0.81 2086.95 283.74
  42 0.83 2103.24 281.606
  43 0.85 2090.61 279.34
  44 0.87 2100.3 278.022
  45 0.89 2092.92 277.427
  46 0.91 2098.62 274.504
  47 0.93 2093.25 272.401
  48 0.95 2098.55 270.377
  49 0.97 2093.6 266.264
  50 0.99 2098.28 258.76
