# Chunk-averaged data for fix 1a and group layer1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp1
100000 50 34932
  1 0.01 726.008 252.154
  2 0.03 671.156 251.114
  3 0.05 723.378 245.321
  4 0.07 674.07 248.272
  5 0.09 719.933 255.228
  6 0.11 678.798 261.536
  7 0.13 715.361 264.544
  8 0.15 684.57 269.573
  9 0.17 708.878 277.453
  10 0.19 692.083 277.3
  11 0.21 701.755 277.345
  12 0.23 698.297 277.58
  13 0.25 696.377 277.829
  14 0.27 702.235 277.13
  15 0.29 693.344 276.331
  16 0.31 705.731 278.89
  17 0.33 690.071 278.775
  18 0.35 709.757 279.039
  19 0.37 685.921 278.234
  20 0.39 713.971 279.956
  21 0.41 681.994 283.101
  22 0.43 718.477 285.562
  23 0.45 678.318 289.722
  24 0.47 722.577 293.72
  25 0.49 673.186 303.3
  26 0.51 725.216 320.38
  27 0.53 671.496 302.54
  28 0.55 723.061 293.69
  29 0.57 674.474 288.453
  30 0.59 719.759 284.801
  31 0.61 679.217 280.291
  32 0.63 715.008 280.39
  33 0.65 684.518 281.214
  34 0.67 709.974 279.737
  35 0.69 690.675 280.034
  36 0.71 703.401 280.735
  37 0.73 697.668 280.776
  38 0.75 696.607 280.718
  39 0.77 703.346 282.092
  40 0.79 690.968 279.604
  41 0.81 707.624 279.418
  42 0.83 687.173 273.758
  43 0.85 712.427 269.804
  44 0.87 683.495 268.273
  45 0.89 716.637 261.794
  46 0.91 679.383 252.939
  47 0.93 720.405 246.827
  48 0.95 676.394 248.799
  49 0.97 725.449 262.897
  50 0.99 671.379 270.2
200000 50 34932
  1 0.01 696.333 242.006
  2 0.03 701.589 256.734
  3 0.05 697.348 261.52
  4 0.07 700.42 267.844
  5 0.09 697.962 269.144
  6 0.11 698.204 270.879
  7 0.13 699.859 272.457
  8 0.15 695.534 274.184
  9 0.17 703.02 276.065
  10 0.19 693.026 278.486
  11 0.21 706.347 279.988
  12 0.23 690.685 281.787
  13 0.25 706.893 282.799
  14 0.27 691.119 281.625
  15 0.29 707.668 283.88
  16 0.31 689.886 287.281
  17 0.33 708.621 287.749
  18 0.35 687.137 288.573
  19 0.37 709.285 290.751
  20 0.39 686.654 293.477
  21 0.41 708.43 294.876
  22 0.43 688.917 297.519
  23 0.45 706.893 302.121
  24 0.47 691.249 306.924
  25 0.49 704.99 315.861
  26 0.51 692.542 335.502
  27 0.53 703.806 316.564
  28 0.55 694.611 307.349
  29 0.57 701.093 300.469
  30 0.59 698.043 297.267
  31 0.61 697.854 295.868
  32 0.63 701.464 294.895
  33 0.65 695.072 293.785
  34 0.67 703.762 290.269
  35 0.69 692.826 289.122
  36 0.71 705.149 287.194
  37 0.73 691.014 285.417
  38 0.75 706.879 285.313
  39 0.77 688.729 286.197
  40 0.79 708.418 283.334
  41 0.81 688.574 280.39
  42 0.83 707.016 279.615
  43 0.85 692.434 277.04
  44 0.87 703.756 276.061
  45 0.89 695.239 274.568
  46 0.91 701.582 271.358
  47 0.93 695.649 270.058
  48 0.95 701.557 268.413
  49 0.97 695.73 263.951
  50 0.99 701.133 256.937
