# Chunk-averaged data for fix 1b and group layer2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp2
100000 50 34932
  1 0.01 699.126 274.868
  2 0.03 698.374 273.554
  3 0.05 699.123 273.927
  4 0.07 698.871 278.81
  5 0.09 698.69 288.622
  6 0.11 698.978 292.368
  7 0.13 698.793 295.725
  8 0.15 698.441 301.722
  9 0.17 698.64 309.855
  10 0.19 698.708 314.415
  11 0.21 698.366 313.839
  12 0.23 698.754 312.11
  13 0.25 698.925 311.558
  14 0.27 697.948 311.807
  15 0.29 699.351 313.219
  16 0.31 698.253 311.559
  17 0.33 698.607 311.82
  18 0.35 699.241 310.169
  19 0.37 697.809 308.295
  20 0.39 699.581 308.979
  21 0.41 698.81 310.277
  22 0.43 697.73 313.955
  23 0.45 699.484 315.589
  24 0.47 698.503 319.896
  25 0.49 698.704 327.703
  26 0.51 698.919 341.503
  27 0.53 697.792 327.177
  28 0.55 699.336 320.135
  29 0.57 698.082 314.905
  30 0.59 699.032 312.893
  31 0.61 698.591 308.329
  32 0.63 698.969 307.525
  33 0.65 698.411 307.906
  34 0.67 699.247 305.801
  35 0.69 697.849 306.024
  36 0.71 699.238 305.149
  37 0.73 697.991 304.11
  38 0.75 698.987 307.38
  39 0.77 698.277 307.912
  40 0.79 698.672 305.083
  41 0.81 698.582 301.318
  42 0.83 698.192 297.216
  43 0.85 698.652 292.868
  44 0.87 698.886 293.144
  45 0.89 697.875 286.724
  46 0.91 698.956 280.962
  47 0.93 698.795 275.871
  48 0.95 698.086 278.413
  49 0.97 698.831 301.123
  50 0.99 697.945 294.02
200000 50 34932
  1 0.01 698.293 248.117
  2 0.03 699.193 262.577
  3 0.05 698.608 269.216
  4 0.07 698.676 273.085
  5 0.09 698.989 274.194
  6 0.11 698.571 275.608
  7 0.13 698.949 278.151
  8 0.15 698.417 281.006
  9 0.17 699.05 283.337
  10 0.19 698.653 283.02
  11 0.21 698.485 286.036
  12 0.23 698.937 287.797
  13 0.25 698.197 289.14
  14 0.27 699.315 290.706
  15 0.29 697.994 290.69
  16 0.31 699.284 292.779
  17 0.33 698.275 295.106
  18 0.35 698.928 293.902
  19 0.37 698.679 297.133
  20 0.39 698.306 299.251
  21 0.41 699.038 302.367
  22 0.43 698.636 305.519
  23 0.45 698.474 306.998
  24 0.47 698.942 311.183
  25 0.49 698.05 324.293
  26 0.51 699.195 339.656
  27 0.53 697.864 320.656
  28 0.55 699.265 311.074
  29 0.57 698.12 306.911
  30 0.59 698.582 302.691
  31 0.61 698.98 299.229
  32 0.63 698.034 297.743
  33 0.65 698.973 295.245
  34 0.67 698.54 293.365
  35 0.69 698.584 290.896
  36 0.71 698.778 288.601
  37 0.73 698.587 288.2
  38 0.75 698.289 286.807
  39 0.77 699.048 284.147
  40 0.79 697.819 283.306
  41 0.81 699.529 282.469
  42 0.83 697.502 279.8
  43 0.85 699.624 278.141
  44 0.87 697.586 276.542
  45 0.89 699.15 276.917
  46 0.91 698.224 274.034
  47 0.93 698.713 271.386
  48 0.95 698.673 269.383
  49 0.97 698.418 266.273
  50 0.99 698.982 258.078
