# Chunk-averaged data for fix 1c and group layer3
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp3
100000 50 34932
  1 0.01 698.402 274.596
  2 0.03 697.989 290.112
  3 0.05 698.992 271.956
  4 0.07 698.672 272.554
  5 0.09 698.269 279.25
  6 0.11 698.505 284.185
  7 0.13 698.883 291.336
  8 0.15 697.922 297.326
  9 0.17 698.689 301.708
  10 0.19 698.476 303.31
  11 0.21 697.878 305.768
  12 0.23 698.955 306.853
  13 0.25 698.538 308.482
  14 0.27 698.307 307.902
  15 0.29 698.884 308.25
  16 0.31 698.217 308.346
  17 0.33 698.987 309.319
  18 0.35 698.173 306.848
  19 0.37 698.901 307.246
  20 0.39 698.957 307.579
  21 0.41 698.226 309.088
  22 0.43 698.991 312.62
  23 0.45 698.562 314.995
  24 0.47 698.677 317.756
  25 0.49 698.559 323.808
  26 0.51 698.724 339.603
  27 0.53 698.868 328.685
  28 0.55 697.999 321.708
  29 0.57 699.266 316.987
  30 0.59 698.607 312.648
  31 0.61 698.352 312.488
  32 0.63 699.021 310.668
  33 0.65 698.643 311.264
  34 0.67 698.528 309.83
  35 0.69 698.863 310.573
  36 0.71 698.509 311.041
  37 0.73 698.907 309.056
  38 0.75 699.058 308.475
  39 0.77 698.031 309.736
  40 0.79 699.127 315.147
  41 0.81 698.43 316.269
  42 0.83 698.627 309.685
  43 0.85 698.715 301.527
  44 0.87 698.923 297.863
  45 0.89 698.476 293.326
  46 0.91 699.348 287.961
  47 0.93 698.545 279.81
  48 0.95 699.299 275.819
  49 0.97 698.398 280.065
  50 0.99 699.123 296.568
200000 50 34932
  1 0.01 699.472 248.136
  2 0.03 698.026 260.262
  3 0.05 699.237 267.093
  4 0.07 698.078 270.104
  5 0.09 698.911 271.868
  6 0.11 698.51 273.549
  7 0.13 698.768 275.68
  8 0.15 698.553 276.94
  9 0.17 698.812 281.498
  10 0.19 698.321 282.549
  11 0.21 698.906 283.757
  12 0.23 698.359 285.313
  13 0.25 698.983 285.684
  14 0.27 698.298 286.806
  15 0.29 698.699 287.122
  16 0.31 698.405 291.358
  17 0.33 698.676 292.964
  18 0.35 698.453 293.645
  19 0.37 698.868 295.783
  20 0.39 698.258 297.347
  21 0.41 698.971 301.802
  22 0.43 698.134 303.035
  23 0.45 698.737 305.669
  24 0.47 698.868 312.473
  25 0.49 698.398 321.477
  26 0.51 698.653 339.833
  27 0.53 698.314 325.31
  28 0.55 698.443 314.014
  29 0.57 698.745 309.208
  30 0.59 698.679 305.402
  31 0.61 698.427 302.601
  32 0.63 698.892 300.345
  33 0.65 698.211 299.623
  34 0.67 699.171 297.955
  35 0.69 698.157 296.552
  36 0.71 699.014 292.472
  37 0.73 698.516 291.603
  38 0.75 698.36 291.632
  39 0.77 698.843 290.355
  40 0.79 698.61 288.637
  41 0.81 698.845 288.314
  42 0.83 698.719 285.423
  43 0.85 698.557 282.819
  44 0.87 698.961 281.473
  45 0.89 698.535 280.783
  46 0.91 698.812 278.133
  47 0.93 698.887 275.749
  48 0.95 698.324 273.344
  49 0.97 699.457 268.555
  50 0.99 698.167 261.273
