# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp
100000 50 104796
  1 0.01 2120.68 249.443
  2 0.03 2114.81 260.469
  3 0.05 2122.76 267.428
  4 0.07 2093.02 276.854
  5 0.09 2115.74 276.972
  6 0.11 2079.44 278.342
  7 0.13 2117.26 282.214
  8 0.15 2076.75 283.37
  9 0.17 2118.62 284.771
  10 0.19 2081.44 289.548
  11 0.21 2106.67 289.605
  12 0.23 2082.51 287.084
  13 0.25 2098.91 284.954
  14 0.27 2076.17 287.008
  15 0.29 2098.83 289.729
  16 0.31 2077.5 289.34
  17 0.33 2094.24 292.087
  18 0.35 2079.64 292.769
  19 0.37 2092.33 292.87
  20 0.39 2084.52 296.117
  21 0.41 2092.79 297.882
  22 0.43 2087.87 300.191
  23 0.45 2104.11 302.23
  24 0.47 2106.44 307.723
  25 0.49 2094.24 319.979
  26 0.51 2114 348.831
  27 0.53 2074.91 321.727
  28 0.55 2108.08 311.897
  29 0.57 2076.65 303.816
  30 0.59 2113 300.253
  31 0.61 2091.36 297.595
  32 0.63 2098.9 295.339
  33 0.65 2096.18 294.006
  34 0.67 2078.27 292.182
  35 0.69 2099.15 293.143
  36 0.71 2080.2 289.585
  37 0.73 2096.91 287.494
  38 0.75 2082.27 290.311
  39 0.77 2091.42 290.473
  40 0.79 2090.65 292.141
  41 0.81 2089.76 293.578
  42 0.83 2095.59 290.343
  43 0.85 2090.21 291.213
  44 0.87 2099.88 288.79
  45 0.89 2089.45 287.726
  46 0.91 2098.26 285.401
  47 0.93 2098.26 279.37
  48 0.95 2108.17 270.821
  49 0.97 2119.71 267.44
  50 0.99 2097.47 264.879
200000 50 104796
  1 0.01 2105.55 247.723
  2 0.03 2089.8 262.664
  3 0.05 2100.48 269.261
  4 0.07 2059.76 273.168
  5 0.09 2120.48 275.679
  6 0.11 2047.77 278.13
  7 0.13 2123.87 279.67
  8 0.15 2062.08 282.54
  9 0.17 2108.76 284.678
  10 0.19 2066.66 284.452
  11 0.21 2113.3 287.063
  12 0.23 2064.88 288.188
  13 0.25 2118.84 289.009
  14 0.27 2073.34 290.77
  15 0.29 2116.84 291.669
  16 0.31 2057.2 294.353
  17 0.33 2131.8 295.44
  18 0.35 2053.23 297.078
  19 0.37 2121.77 299.471
  20 0.39 2099.87 300.141
  21 0.41 2130.32 302.714
  22 0.43 2128.2 306.315
  23 0.45 2109.93 308.292
  24 0.47 2097.36 313.62
  25 0.49 2109.27 325.06
  26 0.51 2073.47 344.323
  27 0.53 2103.33 323.502
  28 0.55 2090.14 313.553
  29 0.57 2085.73 309.65
  30 0.59 2094.37 307.274
  31 0.61 2094.19 304.235
  32 0.63 2096.57 301.21
  33 0.65 2105.8 299.947
  34 0.67 2103.61 298.632
  35 0.69 2112.66 296.085
  36 0.71 2117.07 294.195
  37 0.73 2091.2 293.003
  38 0.75 2118.13 291.52
  39 0.77 2082.55 290.162
  40 0.79 2107 288.372
  41 0.81 2084.82 287.779
  42 0.83 2089.93 286.431
  43 0.85 2091.96 284.139
  44 0.87 2084.32 283.107
  45 0.89 2095.34 280.382
  46 0.91 2090.64 278.425
  47 0.93 2098.89 276.097
  48 0.95 2087.5 273.437
  49 0.97 2094.71 269.421
  50 0.99 2090.7 262.475
