# Chunk-averaged data for fix 1a and group layer1
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp1
100000 50 34932
  1 0.01 713.314 253.305
  2 0.03 696.303 260.454
  3 0.05 710.201 265.955
  4 0.07 692.975 272.975
  5 0.09 711.06 281.14
  6 0.11 684.243 282.066
  7 0.13 716.565 284.712
  8 0.15 685.186 282.251
  9 0.17 714.846 284.53
  10 0.19 686.566 288.699
  11 0.21 712.042 285.407
  12 0.23 686.131 283.054
  13 0.25 708.605 282.03
  14 0.27 681.851 281.417
  15 0.29 708.51 286.756
  16 0.31 684.184 285.663
  17 0.33 705.142 288.482
  18 0.35 687.115 287.618
  19 0.37 701.651 290.79
  20 0.39 690.933 293.729
  21 0.41 698.983 297.086
  22 0.43 694.435 300.036
  23 0.45 701.497 301.592
  24 0.47 701.194 306.954
  25 0.49 699.164 317.369
  26 0.51 704.515 348.121
  27 0.53 689.021 318.921
  28 0.55 706.235 309.296
  29 0.57 688.039 300.839
  30 0.59 707.461 296.481
  31 0.61 695.724 292.914
  32 0.63 696.524 290.806
  33 0.65 704.949 289.63
  34 0.67 683.971 286.697
  35 0.69 709.658 288.686
  36 0.71 682.656 283.33
  37 0.73 708.642 284.189
  38 0.75 683.966 285.797
  39 0.77 706.026 285.183
  40 0.79 685.639 286.407
  41 0.81 708.715 288.257
  42 0.83 685.699 287.16
  43 0.85 711.173 291.78
  44 0.87 685.984 291.906
  45 0.89 710.487 289.432
  46 0.91 686.773 287.437
  47 0.93 710.513 281.959
  48 0.95 695.307 270.172
  49 0.97 719.89 278.531
  50 0.99 691.738 277.207
200000 50 34932
  1 0.01 700.333 247.481
  2 0.03 698.627 261.425
  3 0.05 698.054 269.284
  4 0.07 693.951 273.065
  5 0.09 697.019 275.09
  6 0.11 690.695 277.542
  7 0.13 698.593 278.584
  8 0.15 694.966 280.335
  9 0.17 695.205 282.152
  10 0.19 695.789 283.006
  11 0.21 699.24 283.841
  12 0.23 694.441 286.994
  13 0.25 701.413 288.137
  14 0.27 696.709 288.736
  15 0.29 699.185 289.078
  16 0.31 689.883 291.216
  17 0.33 706.381 292.573
  18 0.35 686.712 296.263
  19 0.37 704.856 297.813
  20 0.39 702.668 296.927
  21 0.41 706.36 300.999
  22 0.43 712.604 304.528
  23 0.45 702.016 307.831
  24 0.47 697.794 311.851
  25 0.49 705.694 323.996
  26 0.51 688.918 342.781
  27 0.53 704.766 321.847
  28 0.55 692.17 310.638
  29 0.57 697.869 309.052
  30 0.59 697.223 307.169
  31 0.61 699.146 304.233
  32 0.63 700.241 299.181
  33 0.65 699.554 298.508
  34 0.67 703.67 297.068
  35 0.69 702 295.38
  36 0.71 708.156 292.925
  37 0.73 695.465 291.097
  38 0.75 706.567 290.566
  39 0.77 693.43 288.915
  40 0.79 702.817 286.426
  41 0.81 696.061 287.001
  42 0.83 695.545 285.235
  43 0.85 698.978 282.666
  44 0.87 693.574 280.044
  45 0.89 697.3 280.455
  46 0.91 698.593 278.902
  47 0.93 696.924 275.566
  48 0.95 697.863 274.201
  49 0.97 695.695 269.778
  50 0.99 700.288 261.914
