# Chunk-averaged data for fix 1b and group layer2
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp2
100000 50 34932
  1 0.01 711.384 234.566
  2 0.03 701.355 257.137
  3 0.05 708.245 271.322
  4 0.07 693.896 281.859
  5 0.09 708.167 277.228
  6 0.11 695.988 278.781
  7 0.13 702.021 284.89
  8 0.15 694.366 288.053
  9 0.17 703.723 288.698
  10 0.19 697.296 294.128
  11 0.21 696.593 296.059
  12 0.23 699.225 292.641
  13 0.25 693.647 289.868
  14 0.27 698.755 291.4
  15 0.29 693.567 292.951
  16 0.31 699.648 291.235
  17 0.33 691.067 295.434
  18 0.35 699.947 297.005
  19 0.37 691.684 295.473
  20 0.39 701.393 299.584
  21 0.41 692.839 301.109
  22 0.43 701.805 303.557
  23 0.45 696.877 305.638
  24 0.47 706.669 310.784
  25 0.49 693.887 325.368
  26 0.51 708.753 352.337
  27 0.53 690.099 326.801
  28 0.55 700.838 316.101
  29 0.57 697.292 308.891
  30 0.59 699.886 305.162
  31 0.61 700.585 302.397
  32 0.63 697.84 300.045
  33 0.65 699.274 300.479
  34 0.67 693.663 298.003
  35 0.69 697.783 299.173
  36 0.71 696.982 296.129
  37 0.73 696.019 293.751
  38 0.75 698.157 297.931
  39 0.77 693.821 299.657
  40 0.79 701.434 303.002
  41 0.81 690.193 303.255
  42 0.83 704.041 297.564
  43 0.85 689.573 295.429
  44 0.87 706.281 292.119
  45 0.89 690.645 287.965
  46 0.91 703.684 281.787
  47 0.93 696.541 274.972
  48 0.95 702.288 275.449
  49 0.97 702.054 261.534
  50 0.99 700.23 254.001
200000 50 34932
  1 0.01 701.854 249.253
  2 0.03 696.521 265.704
  3 0.05 699.674 270.596
  4 0.07 686.517 274.471
  5 0.09 708.919 278.347
  6 0.11 681.77 280.991
  7 0.13 710.869 281.665
  8 0.15 684.706 284.806
  9 0.17 706.414 287.663
  10 0.19 685.875 287.635
  11 0.21 705.693 291.813
  12 0.23 686.17 291.698
  13 0.25 707.79 292.665
  14 0.27 689.426 295.532
  15 0.29 707.638 297.377
  16 0.31 684.626 301.393
  17 0.33 711.096 302.41
  18 0.35 685.837 301.202
  19 0.37 705.093 304.74
  20 0.39 699.362 304.927
  21 0.41 711.65 305.507
  22 0.43 707.846 308.783
  23 0.45 702.112 310.692
  24 0.47 704.322 317.451
  25 0.49 697.939 329.695
  26 0.51 696.36 348.196
  27 0.53 696.269 327.593
  28 0.55 699.495 318.558
  29 0.57 695.05 313.918
  30 0.59 696.327 311.547
  31 0.61 700.012 308.412
  32 0.63 696.383 305.646
  33 0.65 703.875 303.983
  34 0.67 701.306 301.82
  35 0.69 702.761 298.598
  36 0.71 708.459 297.62
  37 0.73 692.526 297.409
  38 0.75 711.678 294.517
  39 0.77 687.92 293.491
  40 0.79 708.309 292.537
  41 0.81 688.398 291.079
  42 0.83 701.616 290.781
  43 0.85 693.53 288.005
  44 0.87 697.38 288.219
  45 0.89 697.544 283.866
  46 0.91 696.838 281.517
  47 0.93 700.058 278.799
  48 0.95 695.429 275.38
  49 0.97 698.945 272.294
  50 0.99 695.81 264.636
