# Chunk-averaged data for fix 1c and group layer3
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp3
100000 50 34932
  1 0.01 695.987 260.692
  2 0.03 717.155 263.741
  3 0.05 704.312 264.999
  4 0.07 706.15 275.743
  5 0.09 696.512 272.457
  6 0.11 699.212 274.262
  7 0.13 698.677 276.964
  8 0.15 697.197 279.804
  9 0.17 700.047 281.068
  10 0.19 697.574 285.806
  11 0.21 698.038 287.447
  12 0.23 697.155 285.475
  13 0.25 696.654 283.036
  14 0.27 695.562 288.076
  15 0.29 696.75 289.544
  16 0.31 693.667 291.055
  17 0.33 698.032 292.416
  18 0.35 692.574 293.598
  19 0.37 698.995 292.382
  20 0.39 692.189 294.988
  21 0.41 700.963 295.486
  22 0.43 691.634 296.93
  23 0.45 705.733 299.5
  24 0.47 698.578 305.398
  25 0.49 701.189 317.248
  26 0.51 700.735 345.998
  27 0.53 695.786 319.474
  28 0.55 701.008 310.314
  29 0.57 691.319 301.659
  30 0.59 705.648 299.166
  31 0.61 695.055 297.44
  32 0.63 704.533 295.157
  33 0.65 691.958 291.921
  34 0.67 700.635 291.774
  35 0.69 691.714 291.632
  36 0.71 700.557 289.169
  37 0.73 692.249 284.586
  38 0.75 700.146 287.123
  39 0.77 691.573 286.661
  40 0.79 703.58 286.9
  41 0.81 690.851 289.369
  42 0.83 705.853 286.233
  43 0.85 689.468 286.41
  44 0.87 707.619 282.445
  45 0.89 688.322 285.726
  46 0.91 707.803 287.017
  47 0.93 691.209 281.142
  48 0.95 710.571 266.883
  49 0.97 697.771 261.939
  50 0.99 705.502 263.589
200000 50 34932
  1 0.01 703.366 246.438
  2 0.03 694.657 260.86
  3 0.05 702.75 267.91
  4 0.07 679.289 271.956
  5 0.09 714.544 273.607
  6 0.11 675.3 275.842
  7 0.13 714.409 278.747
  8 0.15 682.409 282.512
  9 0.17 707.144 284.179
  10 0.19 685 282.734
  11 0.21 708.37 285.512
  12 0.23 684.267 285.879
  13 0.25 709.634 286.223
  14 0.27 687.203 288.055
  15 0.29 710.012 288.532
  16 0.31 682.688 290.464
  17 0.33 714.32 291.337
  18 0.35 680.682 293.744
  19 0.37 711.823 295.894
  20 0.39 697.844 298.58
  21 0.41 712.315 301.625
  22 0.43 707.752 305.645
  23 0.45 705.803 306.363
  24 0.47 695.247 311.514
  25 0.49 705.639 321.538
  26 0.51 688.191 341.948
  27 0.53 702.295 321.106
  28 0.55 698.47 311.428
  29 0.57 692.815 305.972
  30 0.59 700.817 303.134
  31 0.61 695.037 300.031
  32 0.63 699.947 298.826
  33 0.65 702.367 297.334
  34 0.67 698.634 297.006
  35 0.69 707.904 294.289
  36 0.71 700.457 292.016
  37 0.73 703.206 290.55
  38 0.75 699.884 289.434
  39 0.77 701.203 288.128
  40 0.79 695.879 286.099
  41 0.81 700.357 285.308
  42 0.83 692.765 283.224
  43 0.85 699.457 281.777
  44 0.87 693.367 281.031
  45 0.89 700.491 276.839
  46 0.91 695.211 274.848
  47 0.93 701.909 273.929
  48 0.95 694.209 270.721
  49 0.97 700.066 266.198
  50 0.99 694.599 260.876
