# Chunk-averaged data for fix 1 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_vtemp
100000 50 34932
  1 0.01 685.616 237.476
  2 0.03 708.844 251.226
  3 0.05 693.535 264.444
  4 0.07 703.527 270.36
  5 0.09 700.555 270.423
  6 0.11 696.651 275.75
  7 0.13 705.027 282.735
  8 0.15 689.665 292.071
  9 0.17 713.761 305.994
  10 0.19 680.366 316.615
  11 0.21 720.835 322.275
  12 0.23 673.603 324.21
  13 0.25 725.688 321.789
  14 0.27 668.696 317.775
  15 0.29 729.851 317.174
  16 0.31 664.622 317.105
  17 0.33 730.952 318.043
  18 0.35 663.58 316.527
  19 0.37 729.677 318.549
  20 0.39 665.38 316.816
  21 0.41 727.817 318.181
  22 0.43 671.948 322.166
  23 0.45 721.815 322.243
  24 0.47 680.369 326.271
  25 0.49 713.643 335.082
  26 0.51 688.219 354.321
  27 0.53 705.728 333.103
  28 0.55 702.485 325.665
  29 0.57 690.793 321.007
  30 0.59 715.62 317.132
  31 0.61 677.552 318.896
  32 0.63 722.236 320.528
  33 0.65 670.741 318.961
  34 0.67 728.205 316.847
  35 0.69 665.394 319.286
  36 0.71 730.864 319.675
  37 0.73 663.398 319.937
  38 0.75 731.803 319.987
  39 0.77 664.372 320.013
  40 0.79 729.877 321.19
  41 0.81 666.186 319.467
  42 0.83 728.392 313.709
  43 0.85 670.341 298.918
  44 0.87 724.436 287.584
  45 0.89 675.434 278.656
  46 0.91 719.921 272.693
  47 0.93 679.368 269.164
  48 0.95 719.302 267.448
  49 0.97 677.399 259.583
  50 0.99 717.911 248.969
200000 50 34932
  1 0.01 674.208 258.29
  2 0.03 719.792 271.201
  3 0.05 682.978 279.574
  4 0.07 711.022 282.42
  5 0.09 696.006 285.464
  6 0.11 697.994 288.242
  7 0.13 707.872 291.199
  8 0.15 686.128 293.757
  9 0.17 717.686 293.317
  10 0.19 676.324 295.479
  11 0.21 726.385 297.767
  12 0.23 667.66 298.461
  13 0.25 732.649 299.573
  14 0.27 661.547 301.116
  15 0.29 735.38 305.445
  16 0.31 658.913 306.879
  17 0.33 737.113 310.108
  18 0.35 657.828 309.226
  19 0.37 736.513 309.861
  20 0.39 660.519 313.14
  21 0.41 733.481 315.274
  22 0.43 672.377 316.059
  23 0.45 721.623 320.026
  24 0.47 690.508 326.768
  25 0.49 703.492 337.542
  26 0.51 705.828 354.403
  27 0.53 688.172 335.054
  28 0.55 718.494 322.925
  29 0.57 675.507 318.922
  30 0.59 728.162 316.416
  31 0.61 665.84 313.888
  32 0.63 732.357 312.544
  33 0.65 661.879 310.465
  34 0.67 734.772 307.268
  35 0.69 660.1 303.983
  36 0.71 736.097 303.259
  37 0.73 658.784 301.559
  38 0.75 735.905 298.964
  39 0.77 658.262 298.92
  40 0.79 735.744 297.027
  41 0.81 658.381 296.688
  42 0.83 735.686 295.521
  43 0.85 658.176 293.491
  44 0.87 735.815 292.24
  45 0.89 658.551 290.801
  46 0.91 735.486 289.245
  47 0.93 659.96 285.608
  48 0.95 734.043 284.841
  49 0.97 664.583 280.866
  50 0.99 729.417 273.683
