# Time-averaged data for fix 5
# TimeStep c_zl1 c_zl2 c_zl3 c_zl4 c_zl5 c_zl6 c_zl7 c_zl8 c_zl9 c_zl10 c_zl11
100000 18.2985 21.7846 25.2572 28.7293 32.2067 35.6835 39.1596 42.6444 46.1385 49.6337 53.1445
200000 18.3079 21.7906 25.261 28.7313 32.2074 35.6832 39.1587 42.6429 46.1359 49.6275 53.1345
300000 18.33 21.8089 25.2759 28.7422 32.2135 35.6843 39.1543 42.6325 46.1206 49.6078 53.112
400000 18.3253 21.803 25.2703 28.7377 32.2107 35.6837 39.1555 42.6358 46.1261 49.6149 53.1187
500000 18.3324 21.8101 25.2766 28.7425 32.2134 35.6841 39.1536 42.6316 46.1199 49.6074 53.1105
600000 18.3296 21.8075 25.2742 28.7408 32.2123 35.6841 39.1552 42.6341 46.1221 49.6095 53.1124
700000 18.3305 21.8086 25.2751 28.7416 32.2128 35.6836 39.1542 42.6328 46.1216 49.6091 53.112
800000 18.3308 21.8089 25.2756 28.7422 32.2135 35.6844 39.1546 42.6327 46.121 49.6079 53.1104
900000 18.3287 21.8071 25.2739 28.7405 32.2125 35.6843 39.1551 42.6335 46.1227 49.6105 53.1131
1000000 18.3318 21.81 25.2765 28.7424 32.2137 35.6842 39.1541 42.6322 46.12 49.6074 53.1098
