# Time-averaged data for fix 1
# TimeStep c_tl1 c_tl2 c_tl3 c_tl4 c_tl5 c_tl6 c_tl7 c_tl8 c_tl9 c_tl10 c_tl11
100000 300.828 300.024 299.781 301.313 296.755 300.1 300.637 302.911 302.497 302.881 302.906
200000 301.224 300.426 299.303 300.577 298.755 300.743 300.329 303.033 303.018 302.35 302.203
300000 303.346 300.352 299.623 300.391 300.762 299.968 300.647 302.692 302.499 302.831 300.491
400000 304.377 300.334 300.882 300.508 300.536 300.126 300.828 303.42 302.451 302.62 297.717
500000 305.781 301.21 302.06 301.676 300.171 299.261 301.746 301.959 302.365 302.609 295.716
600000 307.25 302.242 301.222 301.988 300.397 299.581 301.611 301.233 303.079 301.189 295.201
700000 309.622 303.573 300.486 300.966 300.598 300.815 301.085 300.99 303.566 300.319 293.609
800000 311.102 303.868 301.599 300.493 300.367 300.955 301.611 300.894 302.724 300.756 291.969
900000 311.749 303.518 302.949 300.925 300.166 300.583 301.066 300.535 302.878 300.666 291.55
1000000 312.898 304.087 304.287 301.366 299.848 301.223 300.873 300.439 301.611 299.359 291.232
