# Time-averaged data for fix 5
# TimeStep c_zl1 c_zl2 c_zl3 c_zl4 c_zl5 c_zl6 c_zl7 c_zl8 c_zl9 c_zl10 c_zl11
100000 18.2984 21.7842 25.2569 28.7292 32.2066 35.6833 39.1595 42.6444 46.1388 49.6341 53.1451
200000 18.3077 21.7897 25.2605 28.7314 32.2079 35.6836 39.1587 42.6423 46.1359 49.6279 53.1352
300000 18.3297 21.8091 25.2761 28.7422 32.2133 35.6835 39.1534 42.6321 46.1208 49.6088 53.113
400000 18.3238 21.8031 25.2705 28.738 32.211 35.6834 39.1553 42.6361 46.126 49.6151 53.1194
500000 18.3321 21.8105 25.2765 28.7423 32.213 35.6835 39.153 42.6317 46.1198 49.6078 53.112
600000 18.3291 21.8079 25.2747 28.7413 32.2126 35.6837 39.1537 42.6332 46.1217 49.6099 53.1143
700000 18.3296 21.8083 25.275 28.7411 32.2124 35.6835 39.1534 42.6331 46.1213 49.6097 53.1146
800000 18.3313 21.8101 25.2765 28.7427 32.2131 35.6837 39.1531 42.6318 46.1199 49.6077 53.1122
900000 18.3294 21.808 25.2743 28.7408 32.212 35.6832 39.1534 42.6331 46.122 49.6101 53.1155
1000000 18.3316 21.8103 25.2764 28.7425 32.2132 35.6835 39.1528 42.6315 46.1198 49.6075 53.113
