# Time-averaged data for fix 1
# TimeStep c_tl1 c_tl2 c_tl3 c_tl4 c_tl5 c_tl6 c_tl7 c_tl8 c_tl9 c_tl10 c_tl11
100000 298.653 300.044 299.726 301.31 296.646 300.093 300.518 303.07 302.641 303.004 304.932
200000 295.72 300.302 299.697 300.069 297.18 300.737 300.308 302.187 304.15 304.543 306.792
300000 293.024 300.864 298.999 300.611 298.807 299.332 301.779 301.948 304.361 306.015 307.301
400000 291.867 300.02 299.42 299.923 298.065 300.446 301.442 302.335 304.702 307.232 307.448
500000 292.379 299.326 298.164 300.618 297.9 300.649 300.786 302.613 304.226 307.129 310.254
600000 291.434 298.806 298.503 300.643 298.202 300.946 300.523 301.546 304.729 308.051 311.104
700000 291.827 297.814 297.348 300.53 298.998 301.34 300.766 301.675 303.301 308.884 312.536
800000 291.903 297.068 298.91 299.286 299.99 299.464 301.306 301.545 304.031 307.698 314.426
900000 290.894 297.037 298.116 299.405 300.659 299.985 300.457 302.378 304.814 307.164 315.067
1000000 290.315 296.713 298.012 299.918 300.308 300.235 300.002 303.052 306.253 307.058 314.676
